,id,mu,sigma
0,Renegades,30.8897775493959,0.8429574871283922
1,Ground Zero Gaming,30.80145941026161,0.8303653049416511
2,Forkidden,28.943700800345592,0.8274253438323675
3,Dire Wolves,28.681289068026434,0.8376654438572612
4,R!OT Gaming,27.925566574876342,0.8427407709171136
5,Bandits ESC,27.796408600914077,0.8738756917578486
6,Pioneers,28.79848405841113,1.406778402437178
7,Team Bliss,26.57659144741156,0.8399424657250636
8,Rancid Rats Reborn,26.27986922286277,1.1872324827363936
9,Wildcard Gaming,25.149162317484702,0.8868532092637768
10,Team Eros,25.260511885510734,0.9699187002431188
11,The Grogans,24.945633065038823,0.9250564572324349
12,1620 Kings,23.96080716206254,0.8542244677236441
13,shojulli,29.298861861842393,3.5307312032238043
14,Fire Breathing Rubber Duckies,24.049229757749757,1.075985070043864
15,Da Babies,26.156297043140047,2.234589450030691
16,Physicists,24.345018729639847,1.5543866111201199
17,HMS Endeavor,23.728281318088857,1.318664303474553
18,The CEOs,23.226606270737907,1.2994759147794306
19,Antic Esports,22.824472572939683,1.1048550105784196
20,Red Crown Esports,22.354272813420813,1.0396079333570405
21,Trident Esports,22.000201264249462,0.893406710838494
22,Big GOOSE,21.91654365692974,0.8684253876287119
23,The Kibbles,23.3711898554467,1.7721500076216103
24,Bros On Their Toes,22.13379965185588,1.2268628926587912
25,Eclipse Esports,21.634108856508522,1.0536708768792515
26,Clarity Esports,21.822182137662633,1.282074806637275
27,Wazooo,21.30124238646879,1.0483781114410078
28,Vort Central,23.501866046059572,2.155714908327364
29,Deft,21.63140587676135,1.2249475803516152
30,Punjabi Power,22.39452191835814,1.9537832695040573
31,Collateral eSports,20.258428221018853,0.9041665010630527
32,Tisi,20.400127732959415,1.042725695567949
33,Just Go For It,21.333044518274356,1.6534116359557665
34,Gaming United Esports Club Academy White,20.77412375868889,1.5386504724948307
35,Ranga Roundup,20.653976451371797,1.6219276155169433
36,Corn Titans,19.49687442679582,1.4316812085036823
37,The Sussmen,19.93282027605336,1.6540516173442086
38,IDK,22.043477982327413,2.8599099505696666
39,Panik Gaming,18.95296586002079,1.3200735065833749
40,Rust-eze,18.103640405237556,1.3677138563299247
41,BEASTIN OUT,21.99276956970962,3.4233494608653077
42,Lost In the Sauce,17.642051481502516,1.3321617054009327
43,Zinger Box Bandits,19.694027039612173,2.435427717194713
44,joE,18.084926675922095,1.8159202464853017
45,Badonkadank,18.60644274819521,2.187445370284424
46,bros on bros,22.73213383313077,4.316138800305326
47,JoshOC,19.110342512692664,2.5635403945817017
48,Motorollin,19.03271591571755,2.7107504694756352
49,Allardice Gaming,19.05508480767317,2.760232077346798
50,Illuvium,17.658745352227825,2.384537951889514
51,Brainstorm Oceania,17.660122017369716,2.7597196079912925
52,Serenity,15.057547449058049,3.1239183438690796
53,BAD,13.224197518379453,2.7428811405377056
54,Jolly Squad,14.09887777272493,4.646626461578233
55,Smasha5000,11.007018876843864,3.3506953763089973
56,Bougee's Angels,10.594304773311693,3.376812534703961
